name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
00A,5'-O-[(S)-{[(4-chlorophenyl)carbonyl]oxy}(hydroxy)phosphoryl]adenosine,,00A,A,,REL
017,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE",Darunavir<br> TMC114<br> UIC-94017,017,,DB01264,REL
01A,4-Chlorophenacyl-coenzyme A,,01A,,,REL
01G,"8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)
",,01G,,,REL
01K,"[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R,20R)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate",Lysine-COENZYME A derivative,01K,,,REL
02I,"(6S,7S,8S,10R)-4-amino-8-hydroxy-7,8,9,10-tetrahydro-6H-7,10-epoxyazepino[1,2-e]purin-6-yl dihydrogen phosphate",,02I,,,REL
030,"(3R,3aR,5R,6aR)-3-hydroxyhexahydro-2H-cyclopenta[b]furan-5-yl hydrogen carbonate",,030,,,REL
03F,"(9Z)-N-[(2S,3R,4E)-1-(beta-D-glucopyranosyloxy)-3-hydroxyoctadec-4-en-2-yl]octadec-9-enamide",N-(9Z-octadecenoyl)-1--glucosyl-sphing-4-enine,03F,,,REL
045,beta-D-fructofuranosyl-(2->6)-beta-D-fructofuranosyl alpha-D-glucopyranoside,6-KESTOSE,045,,,OBS
04N,"2-amino-2-deoxy-4,6-O-(phenylmethylidene)-alpha-D-glucopyranose",,04N,,,REL
04O,"2-amino-2-deoxy-4,6-O-[(1R)-3-phenylpropylidene]-alpha-D-glucopyranose",,04O,,,REL
05A,"[(1R,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-[2-[[(1S,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-oxidanyl-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methylamino]-2-oxidanylidene-ethyl]-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methyl dihydrogen phosphate",,05A,"DT, DT",,REL
05E,"2-azanylethyl [(2~{S},3~{S},4~{S},5~{S},6~{R})-6-(hydroxymethyl)-2,4,5-tris(oxidanyl)oxan-3-yl] hydrogen phosphate",,05E,,,REL
05H,"[(1R,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-[2-[[(2R,3S,5R)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methylamino]-2-oxidanylidene-ethyl]-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methyl dihydrogen phosphate",,05H,"DT, DT",,REL
05K,"[(2S,3R,5R)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-[2-[[(2R,3S,5R)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methylamino]-2-oxidanylidene-ethyl]oxolan-2-yl]methyl dihydrogen phosphate",,05K,"DT, DT",,REL
05L,heptyl 1-seleno-beta-D-glucopyranoside,heptyl 1-seleno-beta-D-glucoside<br> heptyl 1-seleno-D-glucoside<br> heptyl 1-seleno-glucoside,05L,,,REL
065,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(2S,3R)-3-HYDROXY-4-(N-ISOBUTYLBENZO[D][1,3]DIOXOLE-5-SULFONAMIDO)-1-PHENYLBUTAN-2-YLCARBAMATE","RL-98065<br> [(1R,5S,6R)-2,8-DIOXABICYCLO[3.3.0]OCT-6-YL]N-[(2S,3R)-4-[(3,4-METHYLENEDIOXYPHENYL)SULFONYL-(2-METHYLPROPYL)AMINO]-3-HYDROXY-1-PHENYL-BUTAN-2-YL] CARBAMATE",065,,,REL
06S,"O-[(2R,3S,4R,5R)-5-(2-amino-6-oxo-3,6-dihydro-9H-purin-9-yl)-2-({[(S)-({(2R,3S,4R,5R)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-4-hydroxy-2-[(thiophosphonooxy)methyl]tetrahydrofuran-3-yl}oxy)(sulfanyl)phosphoryl]oxy}methyl)-4-hydroxytetrahydrofuran-3-yl] dihydrogen (S)-phosphorothioate
",,06S,,,REL
07P,"N-[(2S,3R)-10-[(1R,2R)-2-decylcyclopropyl]-1-(alpha-D-galactopyranosyloxy)-3-hydroxydecan-2-yl]hexacosanamide",SMC124,07P,,,REL
07Y,"(2S,3R,4R,5R)-2-(hydroxymethyl)-5-(4-nitrophenoxy)oxolane-3,4-diol",,07Y,,,REL
08T,"[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-tris(fluoranyl)beryllium ",,08T,,,REL
08U,"2-bromanyl-N-[(2S,3R,4R,5S)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]ethanamide",,08U,,,REL
095,"tetrahydro-2H-pyran-4-yl (3S,5'R)-2-oxo-1,2-dihydrospiro[indole-3,3'-pyrrolidine]-5'-carboxylate
",,095,,,REL
09N,"(11Z,14Z)-N-[(2S,3S,4R)-1-(alpha-D-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]icosa-11,14-dienamide",C20:2-alpha-galactosylceramide,09N,,,REL
09X,"2-bromanyl-N-[(2R,3R,4R,5S}-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]ethanamide",,09X,,,REL
0A,L-ADENOSINE-5'-MONOPHOSPHATE,,0A,,,REL
0AI,methyl 2-(acetylamino)-2-deoxy-alpha-D-galactopyranosiduronic acid,,0AI,,,REL
0AL,4-O-phosphono-D-glycero-beta-D-manno-heptopyranose,,0AL,,,OBS
0AM,"2'-deoxy-N-[3-(propyldisulfanyl)propyl]adenosine 5'-(dihydrogen phosphate)
",,0AM,DA,,OBS
0AP,"2'-deoxycytidine 3',5'-bis(dihydrogen phosphate)
",,0AP,DC,,REL
0AT,2-(acetylamino)-2-deoxy-6-O-phosphono-alpha-D-glucopyranose,,0AT,,,OBS
0AU,"5-iodouridine 5'-(dihydrogen phosphate)
",,0AU,DU,,OBS
0AV,"2'-O-methyladenosine 5'-(dihydrogen phosphate)
",,0AV,DA,,OBS
0BD,3-methyl-1-(2-methylpropyl)butyl 4-O-beta-L-gulopyranosyl-beta-D-glucopyranoside,"2,6-dimethyl-4-heptyl 4-O-methyl-beta-D-glucopyranoside",0BD,,,REL
0BT,"1-{2-deoxy-3,5-O-[(4-iodophenyl)(phosphono)methylidene]-beta-D-threo-pentofuranosyl}-5-methylpyrimidine-2,4(1H,3H)-dione",,0BT,,,REL
0C,L-CYTIDINE-5'-MONOPHOSPHATE,,0C,,,REL
0DA,"2'-DEOXY-L-RIBO-FURANOSYL ADENOSINE-5'-MONOPHOSPHATE
",,0DA,,,REL
0DC,"2'-DEOXY-L-RIBO-FURANOSYL CYTOSINE-5'-MONOPHOSPHATE
",,0DC,,,REL
0DG,"2'-DEOXY-L-RIBO-FURANOSYL GUANINE-5'-MONOPHOSPHATE
",,0DG,,,REL
0DN,5'-deoxy-5'-fluorothymidine,,0DN,,,REL
0DT,"2'-DEOXY-L-RIBO-FURANOSYL THYMIDINE-5'-MONOPHOSPHATE 
",,0DT,,,REL
0DV,"(4R,5R,6R,6aS,9S,9aE,10aR)-5-hydroxy-9-(hydroxymethyl)-6,10a-dimethyl-3-(propan-2-yl)-1,2,4,5,6,6a,7,8,9,10a-decahydrod
icyclopenta[a,d][8]annulen-4-yl alpha-D-gulopyranoside
",Fusicoccin H,0DV,,,REL
0ET,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(3R)-2,2-dimethyl-3-oxidanyl-4-oxidanylidene-4-[[3-oxidanylidene-3-[2-[(2R)-2-oxidanylundecyl]sulfanylethylamino]propyl]amino]butyl] hydrogen phosphate",undecan-2-one-CoA,0ET,,,REL
0EY,"1-{[1-(alpha-L-arabinofuranosyl)-1H-1,2,3-triazol-4-yl]methyl}-2,4-dioxo-1,2,3,4-tetrahydropyrimidine",,0EY,,,REL
0FQ,phenacyl coenzyme A,,0FQ,,,REL
0FT,"1-{[1-(alpha-L-arabinofuranosyl)-1H-1,2,3-triazol-4-yl]methyl}-5-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidine",,0FT,,,REL
0FX,"dTDP-4-amino-4,6-dideoxyglucose",,0FX,,,REL
0G,L-GUANOSINE-5'-MONOPHOSPHATE,,0G,,,REL
0G0,"1-{[1-(alpha-L-arabinofuranosyl)-1H-1,2,3-triazol-4-yl]methyl}-5-fluoro-2,4-dioxo-1,2,3,4-tetrahydropyrimidine",,0G0,,,REL
0GZ,"2-oxo-2H-pyran-4,6-dicarboxylic acid",,0GZ,,,REL
0H0,Carbohydrate component from a pentavalent N-acetylneuraminic acid conjugate,"(1R,2R)-1-[(2R,3R,4S,6R)-6-[bis(oxidanyl)methyl]-3-(1-hydroxyethylamino)-4-oxidanyl-6-propoxy-oxan-2-yl]propane-1,2,3-triol<br> (2R,4S,5R,6R)-5-acetamido-2-butoxy-4-oxidanyl-6-[(1R,2R)-1,2,3-tris(oxidanyl)propyl]oxane-2-carboxylic acid",0H0,SIA,,REL
0HJ,"6-O-[(2S)-2-{(1S)-18-[(1R,2R)-2-hexylcyclopropyl]-1-hydroxyoctadecyl}tricosanoyl]-alpha-D-glucopyranosyl alpha-D-glucopyranoside",,0HJ,,,REL
0HX,"pentan-3-yl 2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid","pentan-3-yl 2-(acetylamino)-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid<br> pentan-3-yl
2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enosiduronic acid<br> pentan-3-yl
2-acetamido-2,4-dideoxy-L-threo-hex-4-enosiduronic acid<br> pentan-3-yl 2-acetamido-2,4-dideoxy-threo-hex-4-enosiduronic
acid
",0HX,,,REL
0KL,"5-(5-aminopent-1-yn-1-yl)-2'-deoxyuridine 5'-(tetrahydrogen triphosphate)
",,0KL,,,REL
0KX,2'-deoxy-5'-O-[(R)-hydroxy{[(R)-hydroxy(phosphonooxy)phosphoryl]amino}phosphoryl]cytidine,,0KX,,,REL
0L3,"7-{2-deoxy-5-O-[(S)-hydroxy{[(S)-hydroxy(phosphonooxy)phosphoryl]oxy}phosphoryl]-beta-D-erythro-pentofuranosyl}-5-{5-[(10-hydroxydecanoyl)amino]pent-1-yn-1-yl}-7H-pyrrolo[2,3-d]pyrimidin-4-amine",,0L3,,,REL
0L4,"5-(5-aminopent-1-yn-1-yl)-7-{2-deoxy-5-O-[(S)-hydroxy{[(S)-hydroxy(phosphonooxy)phosphoryl]oxy}phosphoryl]-beta-D-erythro-pentofuranosyl}-7H-pyrrolo[2,3-d]pyrimidin-4-amine",,0L4,,,REL
0L5,"2'-deoxy-5-{5-[(10-hydroxydecanoyl)amino]pent-1-yn-1-yl}uridine 5'-(tetrahydrogen triphosphate)
",,0L5,,,REL
0L6,"5-(5-aminopent-1-yn-1-yl)-2'-deoxycytidine 5'-(tetrahydrogen triphosphate)
",,0L6,,,REL
0L7,"2-amino-5-(5-aminopent-1-yn-1-yl)-7-{2-deoxy-5-O-[(S)-hydroxy{[(S)-hydroxy(phosphonooxy)phosphoryl]oxy}phosphoryl]-beta-D-erythro-pentofuranosyl}-3,7-dihydro-4H-pyrrolo[2,3-d]pyrimidin-4-one",,0L7,,,REL
0LP,"5-acetamido-2,6-anhydro-3,5-dideoxy-3-[(2E)-3-phenylprop-2-en-1-yl]-D-glycero-L-altro-non-2-enonic acid","5-(acetylamino)-2,6-anhydro-3,5-dideoxy-3-[(2E)-3-phenylprop-2-en-1-yl]-D-glycero-L-altro-non-2-enonic acid",0LP,,,REL
0MI,"1-[(2~{R},4~{S},5~{R})-5-[[(azanylidene-$l^{4}-azanylidene)amino]methyl]-4-oxidanyl-oxolan-2-yl]-5-methyl-pyrimidine-2,4-dione",,0MI,,,REL
0MK,beta-L-ribopyranose,beta-L-ribose<br> L-ribose<br> ribose<br> L-ribopyranose,0MK,,,REL
0N2,"(2R,4S,5R,6R)-4-amino-5-hydroxy-6-methyltetrahydro-2H-pyran-2-yl [(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)tetrahydrofuran-2-yl]methyl dihydrogen diphosphate",,0N2,,,REL
0NP,"2',3'-dideoxy-2'-fluoro-3'-triaza-1,2-dien-2-ium-1-yluridine",,0NP,,,REL
0NZ,2-deoxy-6-O-phosphono-beta-D-glucopyranose,"2-deoxy-6-O-phosphono-beta-D-arabino-hexopyranose<br> 2-deoxy-beta-D-glucopyranose 6-phosphate<br>
2-deoxy-6-O-phosphono-beta-D-glucose<br> 2-deoxy-6-O-phosphono-D-glucose<br> 2-deoxy-6-O-phosphono-glucose
",0NZ,,DB02604,REL
0O2,"guanosine 5'-(tetrahydrogen triphosphate) 3'-(trihydrogen diphosphate)
",,0O2,,,REL
0QJ,5'-[(3-{[(4-tert-butylphenyl)carbamoyl]amino}propyl)(methyl)amino]-5'-deoxyadenosine,,0QJ,,,REL
0QK,"7-{5-[(3-{[(4-tert-butylphenyl)carbamoyl]amino}propyl)(propan-2-yl)amino]-5-deoxy-beta-D-ribofuranosyl}-7H-pyrrolo[2,3-d]pyrimidin-4-amine",,0QK,,,REL
0R5,"2'-deoxy-5-[(4-ethynylphenyl)ethynyl]uridine 5'-(tetrahydrogen triphosphate)
",,0R5,,,REL
0R6,"2'-deoxy-5-[(4-ethynylphenyl)ethynyl]cytidine 5'-(tetrahydrogen triphosphate)
",,0R6,,,REL
0RC,5'-O-[(S)-{[(R)-(2-aminoethyl)(hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]cytidine,,0RC,,,REL
0RQ,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(3R)-2,2-dimethyl-3-oxidanyl-4-oxidanylidene-4-[[3-oxidanylidene-3-(4-oxidanylidenepentylamino)propyl]amino]butyl] hydrogen phosphate",dethiaacetyl-coenzyme A,0RQ,,,REL
0SA,undecyl 4-O-alpha-D-glucopyranosyl-1-thio-beta-D-glucopyranoside,,0SA,,,REL
0SG,"N-{(2S,3R,4E)-1-[(3,6-di-O-sulfo-beta-D-galactopyranosyl)oxy]-3-hydroxyoctadec-4-en-2-yl}dodecanamide",,0SG,,,REL
0SH,"N-[(2S,3S,4R)-1-(alpha-D-galactopyranosyloxy)-3,4-dihydroxyoctadecan-2-yl]hexadecanamide",,0SH,,,REL
0SP,"2'-deoxy-N-[3-(propyldisulfanyl)propyl]adenosine 5'-(dihydrogen phosphate)
",,0SP,DA,,OBS
0T1,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl]
[(3R)-2,2-dimethyl-3-oxidanyl-4-oxidanylidene-4-[[3-oxidanylidene-3-(propylamino)propyl]amino]butyl] hydrogen phosphate
",DETHIACOENZYME A,0T1,,,REL
0TL,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-5-(hydroxymethyl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate",,0TL,,,REL
0TQ,"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl {(2S,3R)-3-hydroxy-4-[({(3Z)-3-[1-(methylamino)ethylidene]-2-oxo-2,3-dihydro-1H-indol-5-yl}sulfonyl)(2-methylpropyl)amino]-1-phenylbutan-2-yl}carbamate",,0TQ,,,REL
0TS,"beta-D-glucopyranosyl-(1->4)-4-thio-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-4-thio-beta-D-glucopyrano
 syl-(1->4)-1-thio-beta-D-glucopyranose
",hemithiocellodextrin,0TS,,,OBS
0TT,"1-[(2R,4S,5R)-5-(hydroxymethyl)-4-oxidanyl-oxolan-2-yl]-5-[[(5R)-1-[(2R,4S,5R)-5-(hydroxymethyl)-4-oxidanyl-oxolan-2-yl]-5-methyl-2,4-bis(oxidanylidene)-1,3-diazinan-5-yl]methyl]pyrimidine-2,4-dione",,0TT,,,REL
0U,L-URIDINE-5'-MONOPHOSPHATE,,0U,,,REL
0U1,2'-METHYLSELENYL-2'-DEOXY-L-URIDINE-5'-MONOPHOSPHATE,,0U1,,,REL
0U8,"(1R,4R,5S,6S,7R,10R,11S,12S)-1,7-bis(hydroxymethyl)-2,8,13,14-tetraoxatricyclo[8.2.1.1~4,7~]tetradecane-5,6,11,12-tetrol",,0U8,,,REL
0UB,beta-D-fructofuranosyl-(2->6)-beta-D-fructofuranosyl-(2->6)-beta-D-fructofuranose,Levantriose,0UB,,,OBS
0UH,"2'-deoxy-2-oxoadenosine 5'-(dihydrogen phosphate)
",,0UH,DG,,OBS
0UM,"(2S,5S)-2-amino-6-[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]-5-(propylamino)hexanoic acid",,0UM,,,REL
0V4,"(4R,5R,6R,6aS,9S,9aE,10aR)-5-hydroxy-9-(methoxymethyl)-6,10a-dimethyl-3-(propan-2-yl)-1,2,4,5,6,6a,7,8,9,10a-decahydrodicyclopenta[a,d][8]annulen-4-yl alpha-D-glucopyranoside",16-O-Me-Fusicoccin H,0V4,,,REL
0W3,"(4R,6S,8S,12R,14R,16Z,18R,19R,20S,21S)-19,21-dihydroxy-22-{(2S,2'R,5S,5'S)-5'-[(1R)-1-hydroxyethyl]-2,5'-dimethyloctahydro-2,2'-bifuran-5-yl}-4,6,8,12,14,18,20-heptamethyl-9,11-dioxodocos-16-enoic acid",Ionomycin,0W3,,,REL
0WD,"[[(2R,3S,4R,5R)-5-(3-aminocarbonyl-4H-pyridin-1-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methyl hydrogen phosphate",,0WD,,,REL
0WK,"1,5-anhydro-6-O-phosphono-D-glucitol",,0WK,,,REL
0WM,(2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,Afatinib,0WM,,DB08916,REL
0XE,"5,6-dihydroxy-4-oxo-2-phenyl-4H-chromen-7-yl beta-D-glucopyranosiduronic acid",Baicalin,0XE,,,REL
0XU,"(2S,5S,6E)-2,5-diamino-6-[(3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxydihydrofuran-2(3H)-ylidene]hexanoic acid",,0XU,,,REL
0Y0,5'-{[(3S)-3-amino-3-carboxypropyl]amino}-5'-deoxyadenosine,,0Y0,,,REL
0Y1,5'-{[(3S)-3-amino-3-carboxypropyl][2-(1H-indol-3-yl)ethyl]amino}-5'-deoxyadenosine,,0Y1,,,REL
0Y2,5'-{[(3S)-3-amino-3-carboxypropyl][2-(1-benzothiophen-3-yl)ethyl]amino}-5'-deoxyadenosine,,0Y2,,,REL
0YQ,"2,2'-[(2-{[2-({[(2S,3S,4R,5R)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-3,4-dihydroxytetrahydrofuran-2-yl]carbonyl}amino)ethyl]amino}-2-oxoethyl)imino]diacetic acid (non-preferred name)
",,0YQ,,,REL
101,"2'-DEOXY-ADENOSINE 3'-MONOPHOSPHATE
",,101,,,REL
102,GAMMA-DEOXY-GAMMA-SULFO-GUANOSINE-5'-TRIPHOSPHATE,,102,G,,OBS
103,"2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE
",,103,,DB06843,REL
10C,"4-AMINO-1-{2,5-ANHYDRO-4-[(PHOSPHONOOXY)METHYL]-ALPHA-L-LYXOFURANOSYL}PYRIMIDIN-2(1H)-ONE",,10C,C,,REL
10M,decyl 4-O-alpha-D-glucopyranosyl-1-thio-beta-D-glucopyranoside,"(2R,3R,4S,5S,6R)-2-((2R,3S,4R,5R,6S)-6-Decylsulfanyl-4,5-dihydroxy-2-hydroxymethyl-tetrahydro-pyran-3-yloxy)-6-hydroxymethyl-tetrahydro-pyran-3,4,5-triol, n-Decyl-beta-D-thiomaltoside",10M,,,REL
125,2'-O-FLUOROETHYL-5-METHYL-URIDINE-5'-MONOPHOSPHATE,,125,U,,REL
126,2'-O-METHYL-[TRI(OXYETHYL)]-5-METHYL-URIDINE-5'-MONOPHOSPHATE,,126,U,,REL
127,2'-O-AMINOOXY-ETHYL-5-METHYL-URIDINE-5'-MONOPHOSPHATE,,127,U,,REL
128,"SPIRO(2,4,6-TRINITROBENZENE[1,2A]-2O',3O'-METHYLENE-ADENINE-TRIPHOSPHATE",,128,,DB02524,REL
12A,2-METHYLTHIO-N6-(AMINOCARBONYL-L-THREONYL)-ADENOSINE-5'-MONOPHOSPHATE,,12A,A,,REL
12D,"2',3'-O-[(1R,6R)-2,4,6-trinitrocyclohexa-2,4-diene-1,1-diyl]adenosine 5'-(trihydrogen diphosphate)
",,12D,,,REL
12E,N-{[(2E)-2-(pyridin-4-ylmethylidene)hydrazino]carbonothioyl}-beta-D-glucopyranosylamine,"4-pyridinecarboxaldehyde-4-(beta-D-glucopyranosyl) thiosemicarbazone<br>
N-{[(2E)-2-(pyridin-4-ylmethylidene)hydrazino]carbonothioyl}-beta-D-glucosylamine<br>
N-{[(2E)-2-(pyridin-4-ylmethylidene)hydrazino]carbonothioyl}-D-glucosylamine<br>
N-{[(2E)-2-(pyridin-4-ylmethylidene)hydrazino]carbonothioyl}-glucosylamine
",12E,,,REL
12F,"[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl (2R,3S,4S)-5-[(1R,3R,3aS)-3-[2-(benzyloxy)-3-fluorophenyl]-1-hydroxy-10,11-dimethyl-4,6-dioxo-2,3,5,6-tetrahydro-1H-benzo[g]pyrrolo[2,1-e]pteridin-8(4H)-yl]-2,3,4-trihydroxypentyl dihydrogen diphosphate","[(2R,3S,4R,5R)-5-(6-AMINO-9H-PURIN-9-YL)-3,4-DIHYDROXYTETRAHYDROFURAN-2-YL]METHYL (2R,3S,4S)-5-[(1R,3R,3AS)-1-HYDROXY-10,11-DIMETHYL-4,6-DIOXO-3-(3-FLUORO-2-BENZYLOXYPHENYL)-2,3,5,6-TETRAHYDRO-1H-BENZO[G] PYRROLO[2,1-E]PTERIDIN-8(4H)-YL]-2,3,4-TRIHYDROXYPENTYL DIHYDROGEN DIPHOSPHATE",12F,,,REL
12V,"(2S,3R,4R,5S,6R)-3-(acetylamino)-4,5-dihydroxy-6-(hydroxymethyl)tetrahydro-2H-thiopyran-2-yl [(2R,3S,4R,5R)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl dihydrogen diphosphate",URIDINE DIPHOSPHO-5-THIO-N-ACETYLGLUCOSAMINE,12V,,,REL
138,"N-[5'-O-PHOSPHONO-RIBOFURANOSYL]-2-[2-HYDROXY-2-[4-[GLUTAMIC ACID]-N-CARBONYLPHENYL]-3-[2-AMINO-4-HYDROXY-QUINAZOLIN-6-YL]-PROPANYLAMINO]-ACETAMIDE
",,138,,DB02794,REL
139,"ADENOSINE-5'-[TRIHYDROGEN DIPHOSPHATE] P'-3'-ESTER WITH 2'-DEOXYURIDINE
",,139,,,REL
13A,"7-(3,4-DIHYDROXY-5R-HYDROXYMETHYLTETRAHYDROFURAN-2-YL)-2,2-DIOXO-1,2R,3R,7-TETRAHYDRO-2L6-IMIDAZO[4,5-C][1,2,6]THIADIAZIN-4S-ONE",,13A,,,REL
145,2-nitrophenyl beta-D-galactopyranoside,"1-O-[O-NITROPHENYL]-BETA-D-GALACTOPYRANOSE<br> 2-nitrophenyl beta-D-galactoside<br> 2-nitrophenyl D-galactoside<br>
2-nitrophenyl galactoside
",145,GAL,DB01920,REL
147,4-nitrophenyl beta-D-galactopyranoside,"1-O-[P-NITROPHENYL]-BETA-D-GALACTOPYRANOSE<br> 4-nitrophenyl beta-D-galactoside<br> 4-nitrophenyl D-galactoside<br>
4-nitrophenyl galactoside
",147,GAL,DB02632,REL
149,D-galactonolactone,"(3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-one",149,,DB01885,REL
14T,"3,4-difluorophenyl 2-deoxy-2-[(difluoroacetyl)amino]-beta-D-glucopyranoside","3,4-difluorophenyl 2-deoxy-2-[(difluoroacetyl)amino]-beta-D-glucoside<br> 3,4-difluorophenyl
2-deoxy-2-[(difluoroacetyl)amino]-D-glucoside<br> 3,4-difluorophenyl 2-deoxy-2-[(difluoroacetyl)amino]-glucoside
",14T,NAG,,REL
15B,N-{3-[4-(3-AMINO-PROPYL)-PIPERAZIN-1-YL]-PROPYL}-3-NITRO-5-(GALACTOPYRANOSYL)-BETA-BENZAMIDE,,15B,,DB04073,REL
15L,"D-galactaro-1,5-lactone","galactaro-1,5-lactone<br> (2S,3R,4S,5R,6S)-3,4,5-trihydroxy-6-oxidotetrahydro-2H-pyran-2-carboxylate",15L,,,REL
16B,N-hydroxycytidine 5'-(dihydrogen phosphate),,16B,C,,REL
16F,N-({(2Z)-2-[(3-hydroxyphenyl)methylidene]hydrazino}carbonothioyl)-beta-D-glucopyranosylamine,"3-hydroxybenzaldehyde-4-(beta-D-glucopyranosyl) thiosemicarbazone<br>
N-({(2Z)-2-[(3-hydroxyphenyl)methylidene]hydrazino}carbonothioyl)-beta-D-glucosylamine<br>
N-({(2Z)-2-[(3-hydroxyphenyl)methylidene]hydrazino}carbonothioyl)-D-glucosylamine<br>
N-({(2Z)-2-[(3-hydroxyphenyl)methylidene]hydrazino}carbonothioyl)-glucosylamine
",16F,,,REL
16G,2-acetamido-2-deoxy-6-O-phosphono-alpha-D-glucopyranose,"N-ACETYL-D-GLUCOSAMINE-6-PHOSPHATE<br> N-acetyl-6-O-phosphono-alpha-D-glucosamine<br>
2-acetamido-2-deoxy-6-O-phosphono-alpha-D-glucose<br> 2-acetamido-2-deoxy-6-O-phosphono-D-glucose<br>
2-acetamido-2-deoxy-6-O-phosphono-glucose
",16G,NDG,DB03951,REL
16O,N-({(2E)-2-[(4-bromophenyl)methylidene]hydrazino}carbonothioyl)-beta-D-glucopyranosylamine,"4-bromobenzaldehyde-4-(beta-D-glucopyranosyl) thiosemicarbazone<br>
N-({(2E)-2-[(4-bromophenyl)methylidene]hydrazino}carbonothioyl)-beta-D-glucosylamine<br>
N-({(2E)-2-[(4-bromophenyl)methylidene]hydrazino}carbonothioyl)-D-glucosylamine<br>
N-({(2E)-2-[(4-bromophenyl)methylidene]hydrazino}carbonothioyl)-glucosylamine
",16O,,,REL
179,N-[(naphthalen-2-ylamino)(oxo)acetyl]-beta-D-glucopyranosylamine,,179,,,REL
