name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
C34,N4-METHYL-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,C34,DC,,REL
C37,5-FLUORO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,C37,DC,,REL
C38,5-IODO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,C38,DC,,REL
C3B,4-amino-1-beta-D-glucopyranosylpyrimidin-2(1H)-one,"1-D-glucopyranosyl-cytosine<br> 4-amino-1-beta-D-glucosylpyrimidin-2(1H)-one<br> 4-amino-1-D-glucosylpyrimidin-2(1H)-one<br>
4-amino-1-glucosylpyrimidin-2(1H)-one
",C3B,,,REL
C3G,4-nitrophenyl beta-D-glucopyranosiduronic acid,4-nitrophenyl beta-D-glucosiduronic acid<br> 4-nitrophenyl D-glucosiduronic acid<br> 4-nitrophenyl glucosiduronic acid,C3G,BDP,,REL
C3P,CYTIDINE-3'-MONOPHOSPHATE,,C3P,,DB01961,REL
C3X,(2R)-oxiran-2-ylmethyl beta-D-xylopyranoside,"2,3-EPOXYPROPYL-BETA-D-XYLOSIDE<br> (2R)-oxiran-2-ylmethyl beta-D-xyloside<br> (2R)-oxiran-2-ylmethyl D-xyloside<br>
(2R)-oxiran-2-ylmethyl xyloside
",C3X,XYP,,REL
C43,2'-O-METHYOXYETHYL-CYTIDINE-5'-MONOPHOSPHATE,,C43,C,,REL
C45,N4-METHOXY-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE,,C45,DC,,REL
C46,"6H,8H-3,4-DIHYDROPYRIMIDO[4,5-C][1,2]OXAZIN-7-0NE(CYTIDINE)-5'-MONOPHOSPHATE",,C46,DC,,REL
C4B,"1-beta-D-glucopyranosyl-1,3,5-triazinane-2,4,6-trione","1-beta-D-glucosyl-1,3,5-triazinane-2,4,6-trione<br> 1-D-glucosyl-1,3,5-triazinane-2,4,6-trione<br>
1-glucosyl-1,3,5-triazinane-2,4,6-trione
",C4B,,,REL
C4J,"(5S)-5-{3-[(3S)-3-amino-3-carboxypropyl]-1-methyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl}-2,5-anhydro-1-O-phosphono-L-arabinitol",,C4J,,,REL
C4W,1-azido-beta-N-acetyl-D-glucosamine,,C4W,,,REL
C4X,"3,4-EPOXYBUTYL-BETA-D-XYLOSIDE",,C4X,,,REL
C4Z,"(2~{R})-3-cyclohexyl-2-[(2~{R},3~{S},4~{S},5~{R},6~{R})-2-(hydroxymethyl)-6-[(1~{R},2~{R})-2-[(2~{S},3~{S},4~{R},5~{S},6~{S})-6-methyl-3,4,5-tris(oxidanyl)oxan-2-yl]oxycyclohexyl]oxy-3,5-bis(oxidanyl)oxan-4-yl]oxy-propanoic acid",,C4Z,,,REL
C5G,"[CYTIDINE-5'-PHOSPHATE]-BETA-GLUCOSYL-PHOSPHORIC ACID ESTER
",,C5G,,,REL
C5H,"(2~{S})-3-cyclohexyl-2-[(2~{R},3~{S},4~{S},5~{R},6~{R})-2-(hydroxymethyl)-3,5-bis(oxidanyl)-6-[(1~{R},2~{R})-2-[(2~{R},3~{S},4~{R},5~{S},6~{R})-3,4,5-tris(oxidanyl)-6-(trifluoromethyl)oxan-2-yl]oxycyclohexyl]oxy-oxan-4-yl]oxy-propanoic acid",,C5H,,,REL
C5K,"(2~{S})-3-cyclohexyl-2-[(2~{R},3~{S},4~{S},5~{R},6~{R})-2-(hydroxymethyl)-6-[(1~{R},2~{R},3~{S})-3-methyl-2-[(2~{R},3~{S},4~{R},5~{S},6~{R})-3,4,5-tris(oxidanyl)-6-(trifluoromethyl)oxan-2-yl]oxy-cyclohexyl]oxy-3,5-bis(oxidanyl)oxan-4-yl]oxy-propanoic acid
",,C5K,,,REL
C5L,"2'-O-(2-methoxyethyl)-5-methylcytidine 5'-(dihydrogen phosphate)
",,C5L,C,,REL
C5P,CYTIDINE-5'-MONOPHOSPHATE,,C5P,,DB03403,REL
C5X,3-[(2R)-oxiran-2-yl]propyl beta-D-xylopyranoside,"4,5-EPOXYPENTYL-BETA-D-XYLOSIDE<br> 3-[(2R)-oxiran-2-yl]propyl beta-D-xyloside<br> 3-[(2R)-oxiran-2-yl]propyl D-xyloside<br>
3-[(2R)-oxiran-2-yl]propyl xyloside
",C5X,XYP,,REL
C5Y,5'-O-[(S)-hydroxy(octanoyloxy)phosphoryl]adenosine,,C5Y,,,REL
C6B,"[(2S,3S,4R,5S)-5-(4-amino-2-oxo-pyrimidin-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate",,C6B,,,REL
C6G,6-(carboxymethoxy)-9-(2-deoxy-5-O-phosphono-beta-D-erythro-pentofuranosyl)-9H-purin-2-amine,,C6G,DG,,REL
C6N,6-cyclohexyl-2-(4-cyclohexylbutyl)-2-({[4-O-(alpha-D-glucopyranosyl)-beta-D-glucopyranosyl]oxy}methyl)hexyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside,,C6N,,,REL
C6Q,"N-{(1S,2S,3R)-1-[(alpha-D-galactopyranosyloxy)methyl]-2,3-dihydroxyheptadecyl}-6-phenylhexanamide","(2S,3S,4R)-N-PHENYLHEXANOYL-1-[(ALPHA-D-GALACTOPYRANOSYL)OXY]-2-AMINO-OCTADECANE-3,4-DIOL",C6Q,,,REL
C6T,"2'-deoxy-5'-O-[(S)-hydroxy{[(R)-hydroxy(phosphonomethyl)phosphoryl]amino}phosphoryl]-3,4-dihydrothymidine",,C6T,,,REL
C76,"2,2,2-tris(fluoranyl)-N-[(2R,3R,4R,5S,6R)-6-(hydroxymethyl)-2,4,5-tris(oxidanyl)oxan-3-yl]ethanamide",N-trifluoroacetyl-D-glucosamine,C76,,,REL
